"Age Group","Male","Female","Total","country","Year"
"Under 14","1559","1627","3186","Bhutan",2009
"Age 14 to 20","1258","1310","2568","Bhutan",2009
"Age 21 to 30","1823","1927","3750","Bhutan",2009
"Age 31 to 40","1110","1124","2234","Bhutan",2009
"Age 41 to 50","726","737","1463","Bhutan",2009
"Age 51 to 64","583","626","1209","Bhutan",2009
"Age 65 and Over","326","341","667","Bhutan",2009
"Under 14","1242","1339","2581","Bhutan",2010
"Age 14 to 20","922","897","1819","Bhutan",2010
"Age 21 to 30","1569","1572","3141","Bhutan",2010
"Age 31 to 40","790","789","1579","Bhutan",2010
"Age 41 to 50","530","493","1023","Bhutan",2010
"Age 51 to 64","473","457","930","Bhutan",2010
"Age 65 and Over","319","337","656","Bhutan",2010
"Under 14","1610","1675","3285","Bhutan",2011
"Age 14 to 20","1123","1132","2255","Bhutan",2011
"Age 21 to 30","1954","1954","3908","Bhutan",2011
"Age 31 to 40","993","1011","2004","Bhutan",2011
"Age 41 to 50","730","691","1421","Bhutan",2011
"Age 51 to 64","564","570","1134","Bhutan",2011
"Age 65 and Over","344","384","728","Bhutan",2011
"Under 14","1592","1612","3204","Bhutan",2012
"Age 14 to 20","1022","1056","2078","Bhutan",2012
"Age 21 to 30","1858","1924","3782","Bhutan",2012
"Age 31 to 40","965","988","1953","Bhutan",2012
"Age 41 to 50","799","744","1543","Bhutan",2012
"Age 51 to 64","574","618","1192","Bhutan",2012
"Age 65 and Over","333","374","707","Bhutan",2012
"Under 14","978","1079","2057","Bhutan",2013
"Age 14 to 20","613","676","1289","Bhutan",2013
"Age 21 to 30","1143","1128","2271","Bhutan",2013
"Age 31 to 40","642","651","1293","Bhutan",2013
"Age 41 to 50","466","440","906","Bhutan",2013
"Age 51 to 64","385","392","777","Bhutan",2013
"Age 65 and Over","197","261","458","Bhutan",2013
"Under 14","806","837","1643","Bhutan",2014
"Age 14 to 20","568","590","1158","Bhutan",2014
"Age 21 to 30","869","790","1659","Bhutan",2014
"Age 31 to 40","509","485","994","Bhutan",2014
"Age 41 to 50","414","360","774","Bhutan",2014
"Age 51 to 64","363","387","750","Bhutan",2014
"Age 65 and Over","227","271","498","Bhutan",2014
"Under 14","691","723","1414","Bhutan",2015
"Age 14 to 20","444","473","917","Bhutan",2015
"Age 21 to 30","598","504","1102","Bhutan",2015
"Age 31 to 40","483","435","918","Bhutan",2015
"Age 41 to 50","323","311","634","Bhutan",2015
"Age 51 to 64","244","271","515","Bhutan",2015
"Age 65 and Over","121","143","264","Bhutan",2015
"Under 14","794","820","1614","Bhutan",2016
"Age 14 to 20","424","439","863","Bhutan",2016
"Age 21 to 30","669","495","1164","Bhutan",2016
"Age 31 to 40","523","408","931","Bhutan",2016
"Age 41 to 50","345","332","677","Bhutan",2016
"Age 51 to 64","239","266","505","Bhutan",2016
"Age 65 and Over","93","127","220","Bhutan",2016
"Under 14","523","507","1030","Bhutan",2017
"Age 14 to 20","289","300","589","Bhutan",2017
"Age 21 to 30","372","226","598","Bhutan",2017
"Age 31 to 40","358","216","574","Bhutan",2017
"Age 41 to 50","228","190","418","Bhutan",2017
"Age 51 to 64","135","159","294","Bhutan",2017
"Age 65 and Over","53","84","137","Bhutan",2017
"Under 14","80","89","169","Bhutan",2018
"Age 14 to 20","46","56","102","Bhutan",2018
"Age 21 to 30","54","49","103","Bhutan",2018
"Age 31 to 40","68","45","113","Bhutan",2018
"Age 41 to 50","38","45","83","Bhutan",2018
"Age 51 to 64","42","48","90","Bhutan",2018
"Age 65 and Over","19","28","47","Bhutan",2018
"Under 14","3258","3480","6738","Burma",2009
"Age 14 to 20","1474","1720","3194","Burma",2009
"Age 21 to 30","2126","2446","4572","Burma",2009
"Age 31 to 40","1286","1753","3039","Burma",2009
"Age 41 to 50","593","835","1428","Burma",2009
"Age 51 to 64","346","387","733","Burma",2009
"Age 65 and Over","108","108","216","Burma",2009
"Under 14","2777","3078","5855","Burma",2010
"Age 14 to 20","1248","1553","2801","Burma",2010
"Age 21 to 30","1965","2108","4073","Burma",2010
"Age 31 to 40","1069","1445","2514","Burma",2010
"Age 41 to 50","538","660","1198","Burma",2010
"Age 51 to 64","233","316","549","Burma",2010
"Age 65 and Over","99","87","186","Burma",2010
"Under 14","2577","2643","5220","Burma",2011
"Age 14 to 20","1038","1301","2339","Burma",2011
"Age 21 to 30","1817","2169","3986","Burma",2011
"Age 31 to 40","996","1454","2450","Burma",2011
"Age 41 to 50","447","579","1026","Burma",2011
"Age 51 to 64","243","270","513","Burma",2011
"Age 65 and Over","89","90","179","Burma",2011
"Under 14","2149","2244","4393","Burma",2012
"Age 14 to 20","843","1198","2041","Burma",2012
"Age 21 to 30","1807","2617","4424","Burma",2012
"Age 31 to 40","967","1617","2584","Burma",2012
"Age 41 to 50","411","629","1040","Burma",2012
"Age 51 to 64","221","245","466","Burma",2012
"Age 65 and Over","80","84","164","Burma",2012
"Under 14","2222","2375","4597","Burma",2013
"Age 14 to 20","933","1199","2132","Burma",2013
"Age 21 to 30","1564","2017","3581","Burma",2013
"Age 31 to 40","962","1422","2384","Burma",2013
"Age 41 to 50","482","631","1113","Burma",2013
"Age 51 to 64","266","295","561","Burma",2013
"Age 65 and Over","111","101","212","Burma",2013
"Under 14","2468","2627","5095","Burma",2014
"Age 14 to 20","846","1028","1874","Burma",2014
"Age 21 to 30","1979","2282","4261","Burma",2014
"Age 31 to 40","1133","1775","2908","Burma",2014
"Age 41 to 50","463","658","1121","Burma",2014
"Age 51 to 64","255","248","503","Burma",2014
"Age 65 and Over","118","91","209","Burma",2014
"Under 14","2821","3074","5895","Burma",2015
"Age 14 to 20","896","1151","2047","Burma",2015
"Age 21 to 30","1935","2098","4033","Burma",2015
"Age 31 to 40","1287","2060","3347","Burma",2015
"Age 41 to 50","553","816","1369","Burma",2015
"Age 51 to 64","267","313","580","Burma",2015
"Age 65 and Over","107","105","212","Burma",2015
"Under 14","2018","2176","4194","Burma",2016
"Age 14 to 20","674","743","1417","Burma",2016
"Age 21 to 30","1281","1111","2392","Burma",2016
"Age 31 to 40","844","1220","2064","Burma",2016
"Age 41 to 50","358","504","862","Burma",2016
"Age 51 to 64","223","233","456","Burma",2016
"Age 65 and Over","105","82","187","Burma",2016
"Under 14","612","662","1274","Burma",2017
"Age 14 to 20","223","326","549","Burma",2017
"Age 21 to 30","469","368","837","Burma",2017
"Age 31 to 40","244","349","593","Burma",2017
"Age 41 to 50","106","147","253","Burma",2017
"Age 51 to 64","84","68","152","Burma",2017
"Age 65 and Over","31","33","64","Burma",2017
"Under 14","626","645","1271","Burma",2018
"Age 14 to 20","220","230","450","Burma",2018
"Age 21 to 30","411","426","837","Burma",2018
"Age 31 to 40","269","404","673","Burma",2018
"Age 41 to 50","117","160","277","Burma",2018
"Age 51 to 64","94","90","184","Burma",2018
"Age 65 and Over","46","33","79","Burma",2018
"Under 14","239","231","470","DRC",2009
"Age 14 to 20","129","132","261","DRC",2009
"Age 21 to 30","78","74","152","DRC",2009
"Age 31 to 40","65","61","126","DRC",2009
"Age 41 to 50","36","48","84","DRC",2009
"Age 51 to 64","18","14","32","DRC",2009
"Age 65 and Over","6","3","9","DRC",2009
"Under 14","675","657","1332","DRC",2010
"Age 14 to 20","290","323","613","DRC",2010
"Age 21 to 30","281","361","642","DRC",2010
"Age 31 to 40","167","151","318","DRC",2010
"Age 41 to 50","87","93","180","DRC",2010
"Age 51 to 64","38","29","67","DRC",2010
"Age 65 and Over","5","3","8","DRC",2010
