"Education","Male","Female","Total","country","Year"
"Bio Data not Complete","2657","1846","4503","Bhutan",2009
"Graduate School","21","144","165","Bhutan",2009
"Intermediate","509","496","1005","Bhutan",2009
"Kindergarten","123","127","250","Bhutan",2009
"NONE","100","42","142","Bhutan",2009
"Pre-University","1","1","2","Bhutan",2009
"Primary","1565","1834","3399","Bhutan",2009
"Professional","12","16","28","Bhutan",2009
"Secondary","1817","2177","3994","Bhutan",2009
"Technical School","11","19","30","Bhutan",2009
"University/College","518","965","1483","Bhutan",2009
"Unknown","51","25","76","Bhutan",2009
"Bio Data not Complete","2191","1626","3817","Bhutan",2010
"Graduate School","10","51","61","Bhutan",2010
"Intermediate","613","560","1173","Bhutan",2010
"Kindergarten","105","114","219","Bhutan",2010
"NONE","48","23","71","Bhutan",2010
"Pre-University","3","4","7","Bhutan",2010
"Primary","1252","1422","2674","Bhutan",2010
"Professional","4","8","12","Bhutan",2010
"Secondary","1368","1565","2933","Bhutan",2010
"Technical School","2","7","9","Bhutan",2010
"University/College","224","485","709","Bhutan",2010
"Unknown","25","19","44","Bhutan",2010
"Bio Data not Complete","2850","2152","5002","Bhutan",2011
"Graduate School","7","30","37","Bhutan",2011
"Intermediate","843","754","1597","Bhutan",2011
"Kindergarten","164","167","331","Bhutan",2011
"NONE","34","24","58","Bhutan",2011
"Pre-University","6","4","10","Bhutan",2011
"Primary","1607","1889","3496","Bhutan",2011
"Professional","1","2","3","Bhutan",2011
"Secondary","1637","1994","3631","Bhutan",2011
"Technical School","1","4","5","Bhutan",2011
"University/College","151","381","532","Bhutan",2011
"Unknown","17","16","33","Bhutan",2011
"Bio Data not Complete","2847","2182","5029","Bhutan",2012
"Graduate School","3","13","16","Bhutan",2012
"Intermediate","856","848","1704","Bhutan",2012
"Kindergarten","157","183","340","Bhutan",2012
"NONE","27","22","49","Bhutan",2012
"Pre-University","2","0","2","Bhutan",2012
"Primary","1637","1980","3617","Bhutan",2012
"Professional","0","3","3","Bhutan",2012
"Secondary","1497","1821","3318","Bhutan",2012
"Technical School","2","2","4","Bhutan",2012
"University/College","103","254","357","Bhutan",2012
"Unknown","12","8","20","Bhutan",2012
"Bio Data not Complete","1674","1364","3038","Bhutan",2013
"Graduate School","2","6","8","Bhutan",2013
"Intermediate","569","630","1199","Bhutan",2013
"Kindergarten","124","156","280","Bhutan",2013
"NONE","22","10","32","Bhutan",2013
"Pre-University","0","2","2","Bhutan",2013
"Primary","1022","1290","2312","Bhutan",2013
"Professional","2","5","7","Bhutan",2013
"Secondary","925","1027","1952","Bhutan",2013
"Technical School","2","1","3","Bhutan",2013
"University/College","55","126","181","Bhutan",2013
"Unknown","27","10","37","Bhutan",2013
"Bio Data not Complete","1416","1108","2524","Bhutan",2014
"Graduate School","2","8","10","Bhutan",2014
"Intermediate","516","510","1026","Bhutan",2014
"Kindergarten","115","113","228","Bhutan",2014
"NONE","3","3","6","Bhutan",2014
"Primary","821","1086","1907","Bhutan",2014
"Professional","1","2","3","Bhutan",2014
"Secondary","769","750","1519","Bhutan",2014
"Technical School","3","2","5","Bhutan",2014
"University/College","50","113","163","Bhutan",2014
